entity_id,name,jurisdiction,incorporation_date,entity_type,source,status,description,address
ENT_00000,Offshore Entity 1,Bermuda,2020-12-11,Foundation,Bahamas Leaks,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"46 Financial District, Bahamas"
ENT_00001,Offshore Entity 2,Cyprus,2022-10-05,Trust,Paradise Papers,Active,This is an offshore entity incorporated in Bermuda for business purposes.,"333 Financial District, Malta"
ENT_00002,Offshore Entity 3,Bermuda,2021-06-17,Other,Bahamas Leaks,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"865 Financial District, Cyprus"
ENT_00003,Offshore Entity 4,Malta,2012-07-29,Other,Pandora Papers,Dissolved,This is an offshore entity incorporated in Cyprus for business purposes.,"121 Financial District, Bermuda"
ENT_00004,Offshore Entity 5,Switzerland,2012-08-09,Company,Paradise Papers,Active,This is an offshore entity incorporated in Switzerland for business purposes.,"320 Financial District, Cyprus"
ENT_00005,Offshore Entity 6,Switzerland,2018-12-24,Trust,Offshore Leaks,Inactive,This is an offshore entity incorporated in Panama for business purposes.,"51 Financial District, British Virgin Islands"
ENT_00006,Offshore Entity 7,Cayman Islands,2011-08-23,Foundation,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Panama for business purposes.,"75 Financial District, Bahamas"
ENT_00007,Offshore Entity 8,Cayman Islands,2007-12-14,Company,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Bermuda for business purposes.,"564 Financial District, Bermuda"
ENT_00008,Offshore Entity 9,Bahamas,2010-11-06,Company,Pandora Papers,Active,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"454 Financial District, Cayman Islands"
ENT_00009,Offshore Entity 10,Switzerland,2019-03-20,Company,Panama Papers,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"897 Financial District, British Virgin Islands"
ENT_00010,Offshore Entity 11,Monaco,2021-08-01,Foundation,Panama Papers,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"879 Financial District, Cayman Islands"
ENT_00011,Offshore Entity 12,Panama,2019-08-06,Company,Offshore Leaks,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"244 Financial District, Switzerland"
ENT_00012,Offshore Entity 13,Panama,2022-03-27,Other,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"439 Financial District, Bermuda"
ENT_00013,Offshore Entity 14,Cyprus,2015-04-24,Trust,Offshore Leaks,Inactive,This is an offshore entity incorporated in Malta for business purposes.,"203 Financial District, Switzerland"
ENT_00014,Offshore Entity 15,Monaco,2010-01-14,Foundation,Pandora Papers,Dissolved,This is an offshore entity incorporated in Cyprus for business purposes.,"853 Financial District, Cayman Islands"
