officer_id,name,country,role,source,description
OFF_00000,Person 1,USA,Director,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00001,Person 2,USA,Secretary,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00002,Person 3,USA,Secretary,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00003,Person 4,Germany,Director,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00004,Person 5,Russia,Director,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00005,Person 6,Russia,Beneficial Owner,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00006,Person 7,Germany,Nominee,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00007,Person 8,USA,Nominee,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00008,Person 9,UK,Beneficial Owner,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00009,Person 10,China,Shareholder,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00010,Person 11,USA,Nominee,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00011,Person 12,China,Shareholder,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00012,Person 13,India,Beneficial Owner,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00013,Person 14,China,Shareholder,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00014,Person 15,Germany,Director,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00015,Person 16,Brazil,Nominee,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00016,Person 17,France,Secretary,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00017,Person 18,Brazil,Beneficial Owner,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00018,Person 19,Germany,Beneficial Owner,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00019,Person 20,France,Shareholder,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00020,Person 21,Germany,Shareholder,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00021,Person 22,France,Nominee,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00022,Person 23,UK,Beneficial Owner,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00023,Person 24,UK,Secretary,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00024,Person 25,India,Nominee,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00025,Person 26,USA,Shareholder,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00026,Person 27,Russia,Director,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00027,Person 28,France,Beneficial Owner,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00028,Person 29,USA,Secretary,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00029,Person 30,UK,Beneficial Owner,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00030,Person 31,Germany,Secretary,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00031,Person 32,France,Secretary,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00032,Person 33,France,Shareholder,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00033,Person 34,France,Nominee,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00034,Person 35,Russia,Beneficial Owner,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00035,Person 36,UK,Secretary,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00036,Person 37,France,Beneficial Owner,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00037,Person 38,UK,Director,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00038,Person 39,France,Secretary,Panama Papers,Individual associated with offshore entities through various roles and connections.
